person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,probability_of_default_xgb (%),predicted_status_xgb,real_status (Target),segmento_riesgo_IA
29,50700,RENT,2.0,HOMEIMPROVEMENT,B,5000,9.88,0,0.1,N,8,23.086475,0,0,Riesgo Medio
25,60000,MORTGAGE,9.0,PERSONAL,C,10200,13.92,0,0.17,Y,4,21.101437,0,0,Riesgo Medio
32,65000,RENT,3.0,PERSONAL,A,3625,6.03,0,0.06,N,8,3.6387231,0,0,Riesgo Bajo
25,50000,MORTGAGE,0.0,VENTURE,E,8000,19.42,0,0.16,N,2,53.661335,1,0,Riesgo Alto
22,75600,MORTGAGE,3.0,EDUCATION,A,10000,10.99,0,0.13,N,4,13.978657,0,0,Riesgo Bajo
22,81000,RENT,3.0,DEBTCONSOLIDATION,C,20000,13.49,0,0.25,N,4,30.496576,0,0,Riesgo Medio
42,33564,RENT,5.0,PERSONAL,D,6000,16.29,1,0.18,N,15,61.376793,1,1,Riesgo Alto
27,36789,MORTGAGE,1.0,DEBTCONSOLIDATION,C,5500,13.57,0,0.15,Y,8,33.38716,0,0,Riesgo Medio
23,72000,MORTGAGE,6.0,VENTURE,C,12000,13.61,1,0.17,Y,2,19.452658,0,1,Riesgo Bajo
38,140000,MORTGAGE,1.0,PERSONAL,D,10000,14.09,0,0.07,N,16,64.15729,1,0,Riesgo Alto
25,38000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,5400,8.9,0,0.14,N,2,28.723454,0,0,Riesgo Medio
26,65000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,14400,9.99,0,0.22,N,3,16.549595,0,0,Riesgo Bajo
23,45000,RENT,7.0,VENTURE,A,2000,7.05,0,0.04,N,3,0.8304967,0,0,Riesgo Bajo
24,23004,RENT,9.0,DEBTCONSOLIDATION,A,1500,7.68,0,0.07,N,2,36.2185,0,0,Riesgo Medio
21,36120,RENT,5.0,VENTURE,B,9000,10.39,0,0.25,N,2,1.0734317,0,0,Riesgo Bajo
31,70000,MORTGAGE,3.0,PERSONAL,A,8400,6.91,0,0.12,N,9,3.8824022,0,0,Riesgo Bajo
36,61000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,10000,10.25,0,0.16,N,12,11.06176,0,0,Riesgo Bajo
21,33996,RENT,0.0,PERSONAL,B,5000,12.18,0,0.15,N,3,63.402428,1,0,Riesgo Alto
24,132000,MORTGAGE,8.0,DEBTCONSOLIDATION,D,1500,17.27,1,0.01,N,2,78.83217,1,1,Riesgo Alto
24,73000,RENT,6.0,DEBTCONSOLIDATION,D,12500,6.0,1,0.17,N,2,43.692066,0,1,Riesgo Medio
24,29000,RENT,1.0,MEDICAL,B,4000,9.96,1,0.14,N,3,38.59881,0,1,Riesgo Medio
25,22800,RENT,1.0,MEDICAL,B,2400,10.36,0,0.11,N,4,32.224483,0,0,Riesgo Medio
24,58000,MORTGAGE,3.0,EDUCATION,D,11000,16.77,0,0.19,N,4,48.445885,0,0,Riesgo Medio
24,110004,MORTGAGE,8.0,DEBTCONSOLIDATION,C,16000,10.99,0,0.15,N,3,14.541631,0,0,Riesgo Bajo
27,60000,MORTGAGE,6.0,PERSONAL,A,10000,7.49,0,0.17,N,7,8.47423,0,0,Riesgo Bajo
41,102300,MORTGAGE,9.0,EDUCATION,B,8800,11.58,0,0.09,N,11,18.323383,0,0,Riesgo Bajo
38,27600,RENT,3.0,MEDICAL,D,5000,14.59,1,0.18,Y,16,94.6408,1,1,Riesgo Alto
31,34000,RENT,2.0,MEDICAL,B,2400,12.21,0,0.07,N,5,42.29489,0,0,Riesgo Medio
26,68400,RENT,10.0,VENTURE,A,12000,7.29,0,0.18,N,4,0.89871234,0,0,Riesgo Bajo
43,55000,OWN,17.0,VENTURE,B,2000,12.53,0,0.04,N,11,0.042034574,0,0,Riesgo Bajo
22,42900,OWN,7.0,EDUCATION,B,2000,10.74,0,0.05,N,4,0.31444275,0,0,Riesgo Bajo
36,43000,RENT,6.0,DEBTCONSOLIDATION,C,4000,13.92,0,0.09,Y,14,36.64888,0,0,Riesgo Medio
25,86000,RENT,9.0,EDUCATION,D,16000,16.29,0,0.19,Y,2,39.291973,0,0,Riesgo Medio
24,58000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,2200,7.4,0,0.04,N,3,13.683109,0,0,Riesgo Bajo
24,72000,RENT,0.0,DEBTCONSOLIDATION,A,16875,6.54,0,0.23,N,4,8.285615,0,0,Riesgo Bajo
27,50000,OWN,9.0,EDUCATION,A,3000,7.75,0,0.06,N,6,0.37550908,0,0,Riesgo Bajo
24,96000,RENT,2.0,MEDICAL,B,16000,11.99,0,0.17,N,3,15.3017025,0,0,Riesgo Bajo
23,80000,MORTGAGE,3.0,EDUCATION,A,6000,5.99,0,0.07,N,4,3.7052195,0,0,Riesgo Bajo
29,76000,RENT,2.0,HOMEIMPROVEMENT,B,8000,11.36,0,0.11,N,5,25.823221,0,0,Riesgo Medio
36,93000,RENT,1.0,PERSONAL,C,12000,13.48,0,0.13,Y,12,15.709104,0,0,Riesgo Bajo
32,60000,RENT,5.0,VENTURE,B,18800,9.99,1,0.31,N,7,98.416245,1,1,Riesgo Alto
24,57996,RENT,1.0,HOMEIMPROVEMENT,A,5000,8.0,0,0.09,N,3,28.550724,0,0,Riesgo Medio
28,16800,OWN,5.0,EDUCATION,B,5000,9.88,1,0.3,N,7,99.72543,1,1,Riesgo Alto
24,57000,MORTGAGE,5.0,EDUCATION,A,8000,5.42,0,0.14,N,3,8.270425,0,0,Riesgo Bajo
31,70000,MORTGAGE,11.0,VENTURE,A,4500,7.9,0,0.06,N,8,0.6435577,0,0,Riesgo Bajo
29,33600,RENT,7.0,VENTURE,B,2000,11.71,0,0.06,N,9,6.034835,0,0,Riesgo Bajo
22,75000,RENT,2.0,EDUCATION,B,10000,11.26,0,0.13,N,4,10.478554,0,0,Riesgo Bajo
37,41000,RENT,3.0,PERSONAL,D,10750,15.37,0,0.26,N,14,48.329945,0,0,Riesgo Medio
29,95000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,2400,13.72,0,0.03,N,8,22.154947,0,0,Riesgo Medio
24,56000,MORTGAGE,3.0,EDUCATION,A,15000,8.49,0,0.27,N,2,22.567265,0,0,Riesgo Medio
25,40000,MORTGAGE,2.0,PERSONAL,B,4500,10.99,0,0.11,N,3,16.352396,0,0,Riesgo Bajo
29,88000,MORTGAGE,6.0,DEBTCONSOLIDATION,E,16000,16.45,1,0.18,N,8,90.397316,1,1,Riesgo Alto
29,70000,MORTGAGE,1.0,EDUCATION,B,20000,9.88,0,0.29,N,10,15.314171,0,0,Riesgo Bajo
46,48956,RENT,0.0,MEDICAL,B,2800,10.59,0,0.06,N,14,22.277292,0,0,Riesgo Medio
31,28800,RENT,0.0,PERSONAL,C,6200,12.23,0,0.22,N,9,34.14834,0,0,Riesgo Medio
23,120000,MORTGAGE,5.0,VENTURE,B,6000,9.99,0,0.05,N,3,0.35687128,0,0,Riesgo Bajo
31,105400,RENT,2.0,MEDICAL,D,24250,15.31,1,0.2,N,5,96.869934,1,1,Riesgo Alto
29,60000,RENT,0.0,MEDICAL,C,5000,14.22,1,0.08,N,9,23.845062,0,1,Riesgo Medio
36,30000,RENT,14.0,MEDICAL,B,3000,10.38,0,0.1,N,11,38.59898,0,0,Riesgo Medio
21,22600,RENT,3.0,EDUCATION,C,6000,12.23,0,0.27,N,4,18.764074,0,0,Riesgo Bajo
21,52000,RENT,5.0,EDUCATION,A,7000,7.49,0,0.13,N,4,10.805159,0,0,Riesgo Bajo
31,45000,MORTGAGE,5.0,VENTURE,B,10000,9.88,0,0.22,N,8,0.54602355,0,0,Riesgo Bajo
31,20800,RENT,0.0,DEBTCONSOLIDATION,C,6000,14.26,0,0.29,N,8,42.499283,0,0,Riesgo Medio
29,60000,OWN,1.0,PERSONAL,B,10000,10.99,0,0.17,N,10,0.19001694,0,0,Riesgo Bajo
31,219996,MORTGAGE,3.0,MEDICAL,A,20000,6.54,0,0.09,N,5,2.121453,0,0,Riesgo Bajo
28,30000,RENT,2.0,DEBTCONSOLIDATION,B,6000,11.49,1,0.2,N,9,47.899635,0,1,Riesgo Medio
26,88000,RENT,10.0,VENTURE,B,10000,12.69,0,0.11,N,2,0.9205381,0,0,Riesgo Bajo
36,74000,MORTGAGE,9.0,HOMEIMPROVEMENT,C,18000,10.99,0,0.24,N,12,30.435673,0,0,Riesgo Medio
25,35000,RENT,1.0,VENTURE,A,15000,7.49,1,0.43,N,3,98.88559,1,1,Riesgo Alto
23,90000,MORTGAGE,6.0,EDUCATION,A,12000,10.99,0,0.13,N,3,7.7260337,0,0,Riesgo Bajo
29,108000,RENT,11.0,EDUCATION,B,16000,10.99,1,0.15,N,7,19.679543,0,1,Riesgo Bajo
27,50000,MORTGAGE,7.0,MEDICAL,A,9500,8.9,0,0.19,N,8,15.53145,0,0,Riesgo Bajo
23,40000,OWN,7.0,EDUCATION,A,13000,7.29,0,0.33,N,4,0.14407802,0,0,Riesgo Bajo
21,39996,RENT,2.0,EDUCATION,A,10000,8.59,0,0.25,N,4,8.921738,0,0,Riesgo Bajo
28,40000,RENT,2.0,MEDICAL,B,9000,12.53,0,0.23,N,8,21.737068,0,0,Riesgo Medio
25,36000,RENT,1.0,MEDICAL,B,6600,11.49,0,0.18,N,4,28.37941,0,0,Riesgo Medio
38,53052,RENT,0.0,EDUCATION,B,8000,10.99,0,0.15,N,15,19.918428,0,0,Riesgo Bajo
22,113000,MORTGAGE,6.0,EDUCATION,B,25000,12.53,0,0.22,N,4,20.23551,0,0,Riesgo Medio
23,124000,RENT,3.0,DEBTCONSOLIDATION,A,6800,6.03,0,0.05,N,2,2.2569458,0,0,Riesgo Bajo
37,32000,RENT,0.0,VENTURE,A,12000,7.49,1,0.38,N,15,99.20872,1,1,Riesgo Alto
27,15120,RENT,6.0,PERSONAL,B,3050,10.38,1,0.2,N,5,99.01592,1,1,Riesgo Alto
28,143000,MORTGAGE,3.0,DEBTCONSOLIDATION,E,25000,17.93,1,0.17,N,6,90.966354,1,1,Riesgo Alto
24,42500,RENT,9.0,PERSONAL,B,12000,11.36,0,0.28,N,2,28.667864,0,0,Riesgo Medio
25,109000,MORTGAGE,9.0,EDUCATION,A,14000,9.63,0,0.13,N,3,14.721569,0,0,Riesgo Bajo
38,81000,OWN,4.0,EDUCATION,B,7000,9.99,0,0.09,N,11,0.44721743,0,0,Riesgo Bajo
36,55500,MORTGAGE,15.0,EDUCATION,B,7875,11.99,0,0.14,N,12,30.783562,0,0,Riesgo Medio
24,40000,RENT,0.0,VENTURE,B,8000,10.25,0,0.2,N,4,0.81955343,0,0,Riesgo Bajo
28,62000,RENT,0.0,HOMEIMPROVEMENT,A,15000,7.9,0,0.24,N,10,15.18641,0,0,Riesgo Bajo
23,70000,OWN,0.0,VENTURE,B,3600,10.59,0,0.05,N,4,0.03674023,0,0,Riesgo Bajo
26,88000,RENT,0.0,VENTURE,E,16000,17.88,1,0.18,Y,4,94.710365,1,1,Riesgo Alto
25,30600,RENT,0.0,MEDICAL,E,14500,17.04,1,0.47,N,3,99.74674,1,1,Riesgo Alto
27,45000,OWN,9.0,PERSONAL,A,12000,6.03,0,0.27,N,5,0.5433443,0,0,Riesgo Bajo
23,68700,RENT,2.0,VENTURE,C,7000,12.53,0,0.1,N,4,25.511768,0,0,Riesgo Medio
37,78000,RENT,14.0,EDUCATION,C,10200,13.06,0,0.13,Y,13,33.164772,0,0,Riesgo Medio
23,42000,MORTGAGE,7.0,PERSONAL,C,12000,15.23,0,0.29,Y,3,44.25138,0,0,Riesgo Medio
24,24000,MORTGAGE,3.0,MEDICAL,A,8000,5.99,0,0.33,N,4,35.599068,0,0,Riesgo Medio
24,35000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,4800,5.42,0,0.14,N,3,5.4495697,0,0,Riesgo Bajo
27,50000,OWN,7.0,EDUCATION,C,8800,12.29,0,0.18,N,7,0.24606802,0,0,Riesgo Bajo
35,48000,RENT,7.0,MEDICAL,A,8250,7.51,0,0.17,N,6,13.325639,0,0,Riesgo Bajo
25,82000,RENT,9.0,PERSONAL,A,11200,5.42,0,0.14,N,4,5.843885,0,0,Riesgo Bajo
26,100000,RENT,6.0,MEDICAL,A,8000,6.54,0,0.08,N,3,2.5069594,0,0,Riesgo Bajo
33,26400,OWN,13.0,VENTURE,B,7000,11.36,0,0.27,N,9,0.07477055,0,0,Riesgo Bajo
23,40000,RENT,2.0,VENTURE,B,3500,11.99,0,0.09,N,4,0.97173053,0,0,Riesgo Bajo
21,33009,OWN,5.0,VENTURE,B,12000,11.48,0,0.36,N,4,0.092212655,0,0,Riesgo Bajo
30,39600,RENT,4.0,DEBTCONSOLIDATION,F,10000,20.89,1,0.25,Y,10,88.592636,1,1,Riesgo Alto
50,72000,MORTGAGE,13.0,MEDICAL,B,8000,11.49,0,0.11,N,14,19.908964,0,0,Riesgo Bajo
25,101000,MORTGAGE,9.0,EDUCATION,B,17000,11.71,0,0.17,N,3,15.893722,0,0,Riesgo Bajo
24,55000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,5275,8.07,0,0.1,N,4,19.884857,0,0,Riesgo Bajo
23,91000,MORTGAGE,0.0,EDUCATION,B,1000,11.71,0,0.01,N,3,6.6090636,0,0,Riesgo Bajo
31,50402,MORTGAGE,4.0,VENTURE,C,3000,13.22,0,0.06,Y,10,21.159468,0,0,Riesgo Medio
29,140000,MORTGAGE,4.0,EDUCATION,C,16775,14.27,0,0.12,Y,10,13.329116,0,0,Riesgo Bajo
32,19000,RENT,1.0,PERSONAL,A,8325,6.62,1,0.44,N,9,99.83011,1,1,Riesgo Alto
24,45000,RENT,1.0,VENTURE,B,12000,10.99,0,0.27,N,3,1.0241358,0,0,Riesgo Bajo
36,25000,MORTGAGE,0.0,MEDICAL,B,3000,8.7,0,0.12,N,14,17.388838,0,0,Riesgo Bajo
29,90000,MORTGAGE,14.0,HOMEIMPROVEMENT,B,15000,11.11,0,0.17,N,9,9.276422,0,0,Riesgo Bajo
30,105000,MORTGAGE,12.0,EDUCATION,A,12000,7.88,0,0.11,N,6,5.4489446,0,0,Riesgo Bajo
43,65000,MORTGAGE,27.0,VENTURE,A,6000,7.49,0,0.09,N,17,0.5452232,0,0,Riesgo Bajo
24,105000,RENT,8.0,DEBTCONSOLIDATION,A,8000,7.51,0,0.08,N,3,5.704923,0,0,Riesgo Bajo
24,31000,MORTGAGE,8.0,EDUCATION,A,5000,5.42,0,0.16,N,2,18.525196,0,0,Riesgo Bajo
27,231252,MORTGAGE,1.0,DEBTCONSOLIDATION,B,2000,9.91,0,0.01,N,6,11.382231,0,0,Riesgo Bajo
22,56324,RENT,2.0,EDUCATION,B,12400,10.74,0,0.22,N,4,15.850549,0,0,Riesgo Bajo
34,50000,OWN,0.0,VENTURE,A,16000,7.51,0,0.32,N,7,0.04953062,0,0,Riesgo Bajo
48,228000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.11,N,13,49.87716,0,1,Riesgo Medio
23,39000,RENT,3.0,EDUCATION,B,3500,11.86,1,0.09,N,4,30.774832,0,1,Riesgo Medio
47,72000,RENT,5.0,VENTURE,D,2500,15.05,0,0.03,N,11,23.86624,0,0,Riesgo Medio
22,120000,MORTGAGE,6.0,EDUCATION,B,8000,12.69,0,0.07,N,2,8.619751,0,0,Riesgo Bajo
24,45000,RENT,0.0,MEDICAL,E,6000,17.19,1,0.13,N,3,96.115036,1,1,Riesgo Alto
26,27983,MORTGAGE,7.0,DEBTCONSOLIDATION,A,6000,7.88,0,0.21,N,3,28.10058,0,0,Riesgo Medio
27,40000,RENT,4.0,EDUCATION,C,6125,13.23,0,0.15,Y,5,18.964972,0,0,Riesgo Bajo
24,86000,RENT,8.0,EDUCATION,A,6575,6.99,0,0.08,N,3,6.620156,0,0,Riesgo Bajo
23,30500,MORTGAGE,6.0,MEDICAL,D,3000,14.96,1,0.1,Y,2,95.24675,1,1,Riesgo Alto
22,107000,MORTGAGE,1.0,VENTURE,A,10000,7.14,0,0.09,N,2,0.459059,0,0,Riesgo Bajo
28,100000,MORTGAGE,12.0,DEBTCONSOLIDATION,B,12000,10.99,0,0.12,N,8,14.36224,0,0,Riesgo Bajo
22,18000,OWN,1.0,EDUCATION,D,5400,15.31,1,0.3,Y,4,98.63435,1,1,Riesgo Alto
24,50000,RENT,7.0,VENTURE,B,5000,11.36,0,0.1,N,4,0.9245662,0,0,Riesgo Bajo
26,19200,MORTGAGE,5.0,VENTURE,A,4000,7.51,1,0.21,N,4,98.654686,1,1,Riesgo Alto
36,130000,MORTGAGE,9.0,MEDICAL,B,12000,10.99,0,0.09,N,14,12.517055,0,0,Riesgo Bajo
22,62502,RENT,3.0,PERSONAL,B,6400,11.71,0,0.1,N,3,26.173512,0,0,Riesgo Medio
28,47500,RENT,2.0,EDUCATION,A,8500,7.88,0,0.18,N,10,13.771723,0,0,Riesgo Bajo
24,162000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,16000,15.96,0,0.1,Y,2,10.936117,0,0,Riesgo Bajo
31,97000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,12000,7.66,0,0.12,N,6,5.7860575,0,0,Riesgo Bajo
29,40000,RENT,1.0,EDUCATION,A,3600,8.59,0,0.09,N,8,12.360534,0,0,Riesgo Bajo
24,75000,RENT,1.0,EDUCATION,B,8400,12.69,0,0.11,N,4,16.52244,0,0,Riesgo Bajo
26,73440,OWN,1.0,PERSONAL,B,35000,9.91,0,0.48,N,2,0.9285815,0,0,Riesgo Bajo
38,35000,OWN,5.0,EDUCATION,D,1800,16.49,0,0.05,Y,12,1.0527068,0,0,Riesgo Bajo
29,78000,MORTGAGE,2.0,PERSONAL,A,18000,6.62,0,0.23,N,5,13.9777975,0,0,Riesgo Bajo
28,68000,OWN,0.0,EDUCATION,C,12000,12.09,0,0.18,Y,9,0.35279432,0,0,Riesgo Bajo
28,48000,RENT,4.0,EDUCATION,A,5000,7.29,0,0.1,N,8,16.5162,0,0,Riesgo Bajo
27,75000,MORTGAGE,3.0,VENTURE,B,4000,11.49,0,0.05,N,7,0.70065916,0,0,Riesgo Bajo
23,75000,MORTGAGE,7.0,EDUCATION,B,7100,9.25,0,0.09,N,2,11.286632,0,0,Riesgo Bajo
23,42000,RENT,3.0,DEBTCONSOLIDATION,A,9000,7.51,0,0.21,N,4,19.053202,0,0,Riesgo Bajo
33,69000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,4000,5.99,0,0.06,N,7,13.742542,0,0,Riesgo Bajo
24,110004,RENT,5.0,MEDICAL,A,14000,7.88,0,0.13,N,2,4.7423763,0,0,Riesgo Bajo
24,96000,MORTGAGE,7.0,PERSONAL,C,6000,13.92,0,0.06,N,3,16.18517,0,0,Riesgo Bajo
24,103000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,21000,13.49,0,0.2,Y,3,19.18921,0,0,Riesgo Bajo
28,143000,RENT,5.0,HOMEIMPROVEMENT,C,15000,12.53,0,0.1,N,6,16.111725,0,0,Riesgo Bajo
21,47520,RENT,5.0,MEDICAL,D,10000,15.33,1,0.21,Y,4,95.43197,1,1,Riesgo Alto
42,55000,RENT,1.0,EDUCATION,C,10000,13.79,0,0.18,Y,13,23.566809,0,0,Riesgo Medio
22,70000,MORTGAGE,4.0,VENTURE,B,13750,10.75,0,0.2,N,3,0.5823028,0,0,Riesgo Bajo
29,240000,MORTGAGE,13.0,DEBTCONSOLIDATION,A,12000,6.03,0,0.05,N,9,2.2422886,0,0,Riesgo Bajo
27,26880,RENT,1.0,DEBTCONSOLIDATION,A,3000,5.79,0,0.11,N,10,22.063116,0,0,Riesgo Medio
25,74500,RENT,3.0,MEDICAL,B,6000,9.99,0,0.08,N,4,25.66148,0,0,Riesgo Medio
36,33000,RENT,2.0,PERSONAL,B,4000,10.99,1,0.12,N,17,39.39164,0,1,Riesgo Medio
24,38400,RENT,3.0,DEBTCONSOLIDATION,B,5000,11.14,0,0.13,N,3,20.785692,0,0,Riesgo Medio
31,45000,RENT,1.0,MEDICAL,C,14000,13.06,1,0.31,N,6,97.892876,1,1,Riesgo Alto
28,78000,MORTGAGE,12.0,MEDICAL,B,12000,10.99,0,0.15,N,10,24.33626,0,0,Riesgo Medio
28,285000,MORTGAGE,4.0,PERSONAL,E,25000,16.32,0,0.09,N,6,70.884865,1,0,Riesgo Alto
23,18000,MORTGAGE,1.0,MEDICAL,D,2500,15.95,1,0.14,N,2,97.421196,1,1,Riesgo Alto
46,33099,MORTGAGE,2.0,MEDICAL,E,12000,10.99,1,0.36,N,14,85.22439,1,1,Riesgo Alto
21,52000,OWN,1.0,EDUCATION,B,13200,12.42,0,0.25,N,2,0.19565709,0,0,Riesgo Bajo
26,70000,RENT,0.0,EDUCATION,A,12000,5.99,0,0.17,N,4,6.7056546,0,0,Riesgo Bajo
30,75000,RENT,5.0,HOMEIMPROVEMENT,B,22000,10.62,0,0.29,N,10,28.104803,0,0,Riesgo Medio
23,92000,MORTGAGE,4.0,EDUCATION,E,15600,16.35,0,0.17,Y,3,35.679394,0,0,Riesgo Medio
25,115000,MORTGAGE,4.0,PERSONAL,A,20000,6.91,0,0.17,N,4,3.9771807,0,0,Riesgo Bajo
23,38400,OWN,5.0,EDUCATION,B,7675,10.0,0,0.2,N,4,0.22880864,0,0,Riesgo Bajo
25,62000,RENT,0.0,EDUCATION,A,5000,7.49,0,0.08,N,3,11.329529,0,0,Riesgo Bajo
28,39996,RENT,10.0,EDUCATION,D,5525,14.54,0,0.14,N,10,32.608295,0,0,Riesgo Medio
31,36996,RENT,5.0,PERSONAL,A,8000,7.49,0,0.22,N,6,18.253994,0,0,Riesgo Bajo
31,20000,OWN,1.0,HOMEIMPROVEMENT,A,5000,8.59,0,0.25,N,8,1.0491407,0,0,Riesgo Bajo
34,30412,RENT,4.0,MEDICAL,B,12000,10.38,1,0.39,N,5,98.92802,1,1,Riesgo Alto
26,48000,MORTGAGE,10.0,DEBTCONSOLIDATION,C,11000,13.49,0,0.23,N,3,33.292904,0,0,Riesgo Medio
23,42996,RENT,7.0,VENTURE,A,7200,8.0,0,0.17,N,2,1.0783468,0,0,Riesgo Bajo
26,30000,RENT,1.0,MEDICAL,B,2300,10.99,0,0.08,N,2,38.844063,0,0,Riesgo Medio
36,54000,RENT,14.0,PERSONAL,C,3800,10.99,1,0.07,N,15,35.094852,0,1,Riesgo Medio
32,22884,RENT,2.0,MEDICAL,C,1200,13.22,0,0.05,N,7,22.370377,0,0,Riesgo Medio
23,55000,OWN,5.0,VENTURE,C,15000,13.49,0,0.27,N,2,0.21296313,0,0,Riesgo Bajo
23,53950,MORTGAGE,8.0,EDUCATION,E,15000,16.63,1,0.28,Y,2,47.760235,0,1,Riesgo Medio
24,26400,RENT,3.0,DEBTCONSOLIDATION,B,4000,10.99,1,0.15,N,3,31.235071,0,1,Riesgo Medio
25,23712,RENT,9.0,MEDICAL,B,1000,11.49,0,0.04,N,2,42.21063,0,0,Riesgo Medio
24,32500,RENT,4.0,MEDICAL,C,14000,14.17,1,0.43,N,2,99.0692,1,1,Riesgo Alto
26,45000,RENT,5.0,DEBTCONSOLIDATION,A,7000,8.9,0,0.16,N,4,16.127867,0,0,Riesgo Bajo
24,39996,RENT,1.0,MEDICAL,C,7000,13.11,0,0.18,N,3,18.686766,0,0,Riesgo Bajo
